"ticker","hour","datetime","highest_hourly_stock_price"
"OKTA","13","2021-11-30 12:00:00-05:00","216.18"
"OKTA","13","2021-11-30 12:00:00-05:00","216.18"
"OKTA","14","2021-11-30 13:35:00-05:00","216.71"
"OKTA","14","2021-11-30 13:35:00-05:00","216.71"
"OKTA","14","2021-11-30 13:35:00-05:00","216.71"
"OKTA","15","2021-11-30 14:00:00-05:00","216.37"
"OKTA","15","2021-11-30 14:00:00-05:00","216.37"
"OKTA","15","2021-11-30 14:00:00-05:00","216.37"
"OKTA","16","2021-11-30 15:45:00-05:00","215.88"
"OKTA","16","2021-11-30 15:45:00-05:00","215.88"
"OKTA","16","2021-11-30 15:45:00-05:00","215.88"
"PINS","10","2021-11-30 09:45:00-05:00","41.71"
"PINS","10","2021-11-30 09:45:00-05:00","41.71"
"PINS","10","2021-11-30 09:45:00-05:00","41.71"
"PINS","11","2021-11-30 10:00:00-05:00","41.64"
"PINS","11","2021-11-30 10:00:00-05:00","41.64"
"PINS","11","2021-11-30 10:00:00-05:00","41.64"
"PINS","12","2021-11-30 11:15:00-05:00","40.43"
"PINS","12","2021-11-30 11:15:00-05:00","40.43"
"PINS","12","2021-11-30 11:15:00-05:00","40.43"
"PINS","13","2021-11-30 12:30:00-05:00","40.09"
"PINS","13","2021-11-30 12:30:00-05:00","40.09"
"PINS","13","2021-11-30 12:30:00-05:00","40.09"
"PINS","14","2021-11-30 13:55:00-05:00","40.12"
"PINS","14","2021-11-30 13:55:00-05:00","40.12"
"PINS","14","2021-11-30 13:55:00-05:00","40.12"
"PINS","15","2021-11-30 14:25:00-05:00","40.23"
"PINS","15","2021-11-30 14:25:00-05:00","40.23"
"PINS","15","2021-11-30 14:25:00-05:00","40.23"
"PINS","16","2021-11-30 15:05:00-05:00","40.42"
"PINS","16","2021-11-30 15:05:00-05:00","40.42"
"PINS","16","2021-11-30 15:05:00-05:00","40.42"
"SHOP","10","2021-11-30 09:30:00-05:00","1629.94"
"SHOP","10","2021-11-30 09:30:00-05:00","1629.94"
"SHOP","10","2021-11-30 09:30:00-05:00","1629.94"
"SHOP","11","2021-11-30 10:05:00-05:00","1625.99"
"SHOP","11","2021-11-30 10:05:00-05:00","1625.99"
"SHOP","11","2021-11-30 10:05:00-05:00","1625.99"
"SHOP","12","2021-11-30 11:10:00-05:00","1561.98"
"SHOP","12","2021-11-30 11:10:00-05:00","1561.98"
"SHOP","12","2021-11-30 11:10:00-05:00","1561.98"
"SHOP","13","2021-11-30 12:20:00-05:00","1544.77"
"SHOP","13","2021-11-30 12:20:00-05:00","1544.77"
"SHOP","13","2021-11-30 12:20:00-05:00","1544.77"
"SHOP","14","2021-11-30 13:55:00-05:00","1533.19"
"SHOP","14","2021-11-30 13:55:00-05:00","1533.19"
"SHOP","14","2021-11-30 13:55:00-05:00","1533.19"
"SHOP","15","2021-11-30 14:00:00-05:00","1536.21"
"SHOP","15","2021-11-30 14:00:00-05:00","1536.21"
"SHOP","15","2021-11-30 14:00:00-05:00","1536.21"
"SHOP","16","2021-11-30 15:05:00-05:00","1529.8"
"SHOP","16","2021-11-30 15:05:00-05:00","1529.8"
"SHOP","16","2021-11-30 15:05:00-05:00","1529.8"
"SNAP","10","2021-11-30 09:35:00-05:00","49.4"
"SNAP","10","2021-11-30 09:35:00-05:00","49.4"
"SNAP","10","2021-11-30 09:35:00-05:00","49.4"
"SNAP","11","2021-11-30 10:00:00-05:00","49.07"
"SNAP","11","2021-11-30 10:00:00-05:00","49.07"
"SNAP","11","2021-11-30 10:00:00-05:00","49.07"
"SNAP","12","2021-11-30 11:00:00-05:00","47.33"
"SNAP","12","2021-11-30 11:00:00-05:00","47.33"
"SNAP","12","2021-11-30 11:00:00-05:00","47.33"
"SNAP","13","2021-11-30 12:30:00-05:00","46.98"
"SNAP","13","2021-11-30 12:30:00-05:00","46.98"
"SNAP","13","2021-11-30 12:30:00-05:00","46.98"
"SNAP","14","2021-11-30 13:55:00-05:00","47.28"
"SNAP","14","2021-11-30 13:55:00-05:00","47.28"
"SNAP","14","2021-11-30 13:55:00-05:00","47.28"
"SNAP","15","2021-11-30 14:00:00-05:00","47.13"
"SNAP","15","2021-11-30 14:00:00-05:00","47.13"
"SNAP","15","2021-11-30 14:00:00-05:00","47.13"
"SNAP","16","2021-11-30 15:55:00-05:00","47.68"
"SNAP","16","2021-11-30 15:55:00-05:00","47.68"
"SNAP","16","2021-11-30 15:55:00-05:00","47.68"
"SQ","10","2021-11-30 09:30:00-05:00","217.75"
"SQ","10","2021-11-30 09:30:00-05:00","217.75"
"SQ","10","2021-11-30 09:30:00-05:00","217.75"
"SQ","11","2021-11-30 10:00:00-05:00","215.46"
